DateTime,Entries,UniqueIPs
1556832283,4383,4383
1556834214,4194,4194
1556836373,4036,4036
1556838306,3900,3900
1556840213,3799,3799
1556842168,3706,3706
1556844040,3620,3620
1556845945,3506,3506
1556847895,3417,3417
1556849797,3316,3316
1556851754,3223,3223
1556853625,3149,3149
1556855560,3063,3063
1556857476,3020,3020
1556859409,2947,2947
1556861304,2875,2875
1556863377,2826,2826
1556865404,2772,2772
1556867315,2716,2716
1556869254,2671,2671
1556871154,2637,2637
1556873094,2586,2586
1556875006,2552,2552
1556876921,2508,2508
1556878884,2483,2483
1556880795,2466,2466
1556882692,2447,2447
1556884629,2441,2441
1556886844,2413,2413
1556888686,2399,2399
1556890589,2380,2380
1556892784,2358,2358
1556894668,2332,2332
1556896614,2298,2298
1556898525,2265,2265
1556900426,2218,2218
1556902376,2198,2198
1556904270,2219,2219
1556906186,2225,2225
1556908140,2447,2447
1556910173,2518,2518
1556911981,2548,2548
1556913882,2544,2544
1556915785,2549,2549
1556917729,2546,2546
1556919650,2544,2544
1556921546,2518,2518
1556923511,2502,2502
1556925397,2500,2500
1556927311,2540,2540
1556929238,2587,2587
1556931166,2625,2625
1556933073,2648,2648
1556934994,2662,2662
1556936929,2657,2657
1556938966,2636,2636
1556940796,2622,2622
1556942709,2620,2620
1556944588,2623,2623
1556946541,2625,2625
1556948440,2635,2635
1556950358,2634,2634
1556952299,2633,2633
1556954201,2649,2649
1556956145,2640,2640
1556958058,2641,2641
1556959975,2639,2639
1556961882,2633,2633
1556963796,2655,2655
1556965997,2647,2647
1556967936,2647,2647
1556969796,2638,2638
1556971664,2637,2637
1556973629,2646,2646
1556975573,2644,2644
1556977492,2629,2629
1556979408,2635,2635
1556981317,2632,2632
1556983252,2630,2630
1556985184,2631,2631
1556987070,2643,2643
1556989000,2617,2617
1556990927,2599,2599
1556992943,2557,2557
1556994777,2446,2446
1556996717,2428,2428
1556998609,2430,2430
1557000534,2431,2431
1557002446,2426,2426
1557004369,2427,2427
1557006267,2433,2433
1557008228,2458,2458
1557010134,2465,2465
1557012027,2454,2454
1557013971,2422,2422
1557015868,2460,2460
1557017797,2446,2446
1557019751,2438,2438
1557021765,2435,2435
1557023575,2438,2438
1557025504,2444,2444
1557027397,2454,2454
1557029326,2446,2446
1557031243,2442,2442
1557033174,2456,2456
1557035068,2452,2452
1557037008,2461,2461
1557038915,2471,2471
1557040827,2471,2471
1557042765,2495,2495
1557044672,2529,2529
1557046582,2539,2539
1557048512,2548,2548
1557050550,3570,3570
1557052375,4377,4377
1557054286,5550,5550
1557056207,7688,7688
1557058143,8824,8824
1557060064,10291,10291
1557061959,11501,11501
1557063869,12933,12933
1557065810,13923,13923
1557067718,14990,14990
1557069665,15910,15910
1557071547,16616,16616
1557073476,17542,17542
1557075407,17730,17730
1557077312,17729,17729
1557079387,17719,17719
1557081380,17724,17724
1557083575,17750,17750
1557085459,17756,17756
1557087397,17945,17945
1557089297,18529,18529
1557091230,19098,19098
1557093172,19898,19898
1557095058,20279,20279
1557096983,20298,20298
1557098896,20303,20303
1557100969,20332,20332
1557102993,20305,20305
1557104928,20311,20311
1557106830,20300,20300
1557108991,20317,20317
1557110903,20334,20334
1557112854,20350,20350
1557114758,20361,20361
1557116654,20368,20368
1557118581,20371,20371
1557120515,20369,20369
1557122562,20366,20366
1557124368,20367,20367
1557126326,20358,20358
1557128178,20345,20345
1557130108,20346,20346
1557132037,20346,20346
1557133952,20343,20343
1557135859,20345,20345
1557137780,20349,20349
1557139709,20362,20362
1557141622,19901,19901
1557143548,19554,19554
1557145464,19559,19559
1557147409,19536,19536
1557149298,19530,19530
1557151375,19525,19525
1557153181,19531,19531
1557155100,19534,19534
1557156999,19527,19527
1557158921,19506,19506
1557160856,19499,19499
1557162766,19497,19497
1557164664,19511,19511
1557166595,19509,19509
1557168501,19503,19503
1557170422,19507,19507
1557172366,19517,19517
1557174258,19146,19146
1557176180,18570,18570
1557178133,17981,17981
1557180174,17091,17091
1557182170,17028,17028
1557184095,17029,17029
1557186137,17018,17018
1557188207,16995,16995
1557190417,16999,16999
1557192503,17000,17000
1557194742,16999,16999
1557196822,17005,17005
1557198751,16995,16995
1557200662,16995,16995
1557202603,16998,16998
1557204495,16947,16947
1557206424,16470,16470
1557208364,15409,15409
1557210278,14494,14494
1557212205,13404,13404
1557214129,12637,12637
1557216067,11541,11541
1557217968,10800,10800
1557219871,10272,10272
1557221793,9606,9606
1557223965,8434,8434
1557225858,7306,7306
1557227794,6568,6568
1557229706,5785,5785
1557231650,5194,5194
1557233947,4817,4817
1557236034,4563,4563
1557237990,3562,3562
1557239857,3048,3048
1557241728,2527,2527
1557243627,2526,2526
1557245554,2521,2521
1557247466,2508,2508
1557249389,2524,2524
1557251320,3482,3482
1557253225,4055,4055
1557255154,4243,4243
1557257074,4790,4790
1557258986,5333,5333
1557260903,5885,5885
1557262991,6622,6622
1557264985,7214,7214
1557266905,7207,7207
1557268818,7195,7195
1557270746,7180,7180
1557272678,7162,7162
1557274842,7174,7174
1557276747,7318,7318
1557278696,8086,8086
1557280584,8855,8855
1557282509,9472,9472
1557285410,10220,10220
1557287312,10497,10497
1557289223,10678,10678
1557291144,11244,11244
1557293096,11659,11659
1557294978,12249,12249
1557296899,12750,12750
1557298920,13025,13025
1557300764,13413,13413
1557302747,13742,13742
1557304617,13749,13749
1557306626,13752,13752
1557308444,13746,13746
1557310373,13738,13738
